Dataset,attribute,classes,examples,isMissing£¿,RN,NB,J48,KNN,SVM,ANN,OneR
pharynx,12,2,195,TRUE,76.45,68.24,76.45,64.08,75.42,71.79,27.13
phishingwebsites,31,2,11055,FALSE,85.07,92.98,95.88,97.18,94.5,96.78,88.89
pima,9,2,768,FALSE,72,76.31,73.83,70.17,75.66,75.4,71.48
pittsburg-bridgesmaterial,8,3,106,FALSE,84,84,87.73,83.73,67.18,83.18,86.82
pittsburg-bridges-rel-l,8,3,103,FALSE,69.09,66.91,63,71.09,65.11,61.36,71
pittsburg-bridges-span,8,3,92,FALSE,59.78,67.33,60.78,55,86.45,66.22,54.67
pittsburg-bridges-t-or-d,8,2,102,FALSE,86.36,86.45,83.55,83.55,53.91,85.64,85.27
pittsburg-bridges-type,8,6,105,FALSE,55.91,55.91,61.73,57.82,85.91,59.64,56.09
planning,13,2,182,FALSE,72.02,68.13,71.46,65.94,71.46,61.49,62.05
plant-margin,65,100,1600,FALSE,63.13,84.69,48.06,74,82.81,83.06,7.69
plant-shape,65,100,1600,FALSE,49.81,53.19,46.13,64.69,48.94,64.75,8.56
plant-texture,65,100,1599,FALSE,62.85,74.42,51.97,80.11,83.3,83.8,3.44
poker-hand-training-true,11,10,25010,FALSE,49.95,49.95,55.91,47.03,58.71,53.97,49.95
post-operative,9,3,90,FALSE,71.11,65.56,71.11,61.11,71.11,56.67,68.89
primary-tumor,18,15,330,FALSE,26.06,43.03,43.33,35.15,46.67,40.91,27.88
qsarbioconcentration,12,2,779,FALSE,74.84,73.69,73.29,61.62,74.84,70.99,72.79
qsarbiodegradation,42,2,1055,FALSE,69.95,75.83,83.51,83.6,85.88,86.92,76.69
qualitative_bankruptcy,7,2,250,FALSE,99.2,99.2,98,100,98.8,99.2,98.4
ringnorm,21,2,7400,FALSE,79.14,98.64,91.61,75.16,98.59,91.95,64.43
risk_factors_cervical_cancer,36,2,858,TRUE,93.59,88.69,95.1,94.4,93.59,94.76,96.15
robotnavigation,25,4,5456,FALSE,91.81,52.51,99.6,88.25,90.03,88.21,75.37
sapfile,22,3,131,FALSE,48.85,54.18,45.71,41.98,48.85,48.08,41.92
sat,37,6,6435,FALSE,85.1,79.6,86.03,90.55,26.14,89.71,59.75
satelite,37,6,6435,FALSE,85.07,79.56,86.34,90.58,26.12,89.82,59.97
scadi,206,7,70,FALSE,58.57,82.86,80,80,75.71,80,58.57
schillingdata,9,2,3272,FALSE,86.86,93.86,86.74,88.45,86.74,92.67,86.58
seeds,8,3,210,FALSE,86.67,91.43,91.9,94.29,93.81,95.24,82.38
segment,20,7,2310,FALSE,90.3,80.22,96.93,97.14,65.37,96.06,63.85
seismic-bumps,19,2,2584,FALSE,93.42,86.73,93.34,89.39,93.42,92.45,92.96
semeion,257,10,1593,FALSE,78.02,85.94,75.83,91.46,95.6,92.65,19.59
setapprocesst1,85,2,64,FALSE,68.33,58.57,62.86,65.24,63.81,64.76,72.14
setapprocesst10,85,2,74,FALSE,66.43,44.64,58.21,60.54,66.43,51.25,62.14
setapprocesst11,85,2,74,FALSE,66.43,52.5,65.71,58.04,66.43,61.43,56.96
setapprocesst2,85,2,74,FALSE,67.86,66.79,72.14,62.68,66.43,62.68,81.25
setapprocesst3,85,2,74,FALSE,66.43,65.18,60.54,66.25,66.43,66.25,53.04
setapprocesst4,85,2,63,FALSE,71.43,47.62,55.24,60.24,71.43,55,72.62
setapprocesst5,85,2,74,FALSE,69.29,45.89,53.39,59.64,65.18,59.82,65.71
setapprocesst6,85,2,74,FALSE,66.43,67.5,64.82,64.29,66.43,62.68,60.18
setapprocesst7,85,2,74,FALSE,67.86,74.82,60.71,64.11,66.43,70.54,52.86
setapprocesst8,85,2,74,FALSE,66.43,68.93,70.18,63.21,66.43,66.61,49.46
setapprocesst9,85,2,74,FALSE,66.43,64.64,69.29,58.39,66.43,70.18,50.71
shillbiddingdataset,9,2,6321,FALSE,90.95,96.71,99.62,99.22,99.54,99.68,97.28
shuttle-landing-control,7,2,15,FALSE,95,80,95,95,95,85,85
somervillehappinesssurvey2015,7,2,143,FALSE,57.33,59.38,64.29,58.95,60.05,58.86,65.67
sonar,61,2,208,FALSE,76.55,67.88,71.17,86.57,65.9,82.29,62.5
soybean,36,18,307,FALSE,69.1,91.86,87.26,87.62,90.22,89.88,30.63
spambase,58,2,4601,FALSE,77.42,79.11,92.96,90.78,93.39,91.2,78.35
speaker-accent,13,6,329,FALSE,51.36,58.07,69.92,80.56,58.36,79.64,50.45
spect,23,2,79,FALSE,70.89,72.14,70.89,55.71,64.64,55.71,72.14
spectf,45,2,80,FALSE,68.75,75,73.75,67.5,67.5,71.25,71.25
statlog-australian-credit,15,2,690,FALSE,67.68,59.28,66.96,55.8,67.54,62.75,65.22
statlog-german-credit,25,2,1000,FALSE,70,75.6,73.9,67.8,76.1,70.9,70.9
statlog-heart,14,2,270,FALSE,83.7,83.33,76.3,75.19,82.96,78.15,71.11
statlog-image,19,7,2310,FALSE,90.22,80.09,96.93,97.14,94.29,96.1,63.68
statlog-landsat,37,6,4435,FALSE,85.95,79.55,86.13,90.15,89.47,89,60.45
statlog-shuttle,10,7,43500,FALSE,84.19,91.64,99.96,99.94,99.75,99.69,94.69
statlog-vehicle,19,4,846,FALSE,66.55,44.8,72.23,69.86,76.72,82.28,51.19
steel-plates,28,7,1941,FALSE,61.62,60.28,76.04,71.97,75.53,72.7,48.17
synthetic-control,61,6,600,FALSE,89,94.67,91.67,96.5,99.33,99.33,57
teaching,6,3,151,FALSE,50.25,54.21,59.58,62.29,56.17,54.29,46.38
thoraricsurgery,17,2,470,FALSE,85.11,78.51,84.47,77.23,85.11,79.15,83.4
thyroid,6,3,215,FALSE,85.19,96.73,92.06,97.21,75.87,96.75,90.69
thyroid_train,22,3,3772,FALSE,92.47,95.63,99.71,92.13,95.1,96.58,96.47
tic-tac-toe,10,2,958,FALSE,65.34,69.62,93.84,100,98.64,97.81,69.93
titanic,4,2,2201,FALSE,78.05,75.37,79.05,79.05,78.46,78.15,77.6
trains,30,2,10,FALSE,70,60,70,60,60,80,0
transfusion,5,2,748,FALSE,76.88,75.4,77.81,70.45,75.27,78.21,76.34
trial,17,2,776,TRUE,94.08,90.34,100,99.74,99.1,99.23,100
turkiye-student-evaluation,34,3,5820,FALSE,61.87,86.99,99.97,90.41,95.5,100,99.97
unbalanced,33,2,856,FALSE,98.6,90.77,98.6,97.66,98.6,98.13,98.6
urbanlandcover,148,9,168,FALSE,80.18,78.49,79.08,76.65,17.28,77.21,49.23
userknowledgemodeling,6,4,252,FALSE,63.91,89.34,94.02,80.58,77.74,91.29,85.31
vehicle,19,4,846,FALSE,69.27,44.8,72.47,69.86,30.5,81.7,51.9
vertebral-column-2clases,7,2,310,FALSE,74.52,77.74,81.61,81.94,85.48,84.52,73.87
vertebral-column-3clases,7,3,310,FALSE,70,83.23,82.26,78.71,83.87,85.16,75.16
veteran,8,2,137,FALSE,71.48,72.09,72.2,60.66,70.77,60.6,73.57
vowel,14,11,990,FALSE,62.42,63.74,81.52,99.29,85.05,92.83,32.02
wall-following,25,4,5456,FALSE,91.86,52.47,99.65,88.18,89,87.48,75.64
waveform,22,3,5000,FALSE,70.94,81.02,75.88,76.9,86.14,83.84,52.54
waveform-noise,41,3,5000,FALSE,67.18,80,75.16,73.62,86.42,83.54,53.72
wbc,10,2,683,FALSE,96.92,97.51,92.98,95.76,97.66,95.76,91.06
wdbc,31,2,569,FALSE,93.68,92.98,93.33,95.96,62.74,96.66,89.81
weathernominal,5,2,14,FALSE,65,60,55,65,70,75,45
weathernumeric,5,2,14,FALSE,55,70,70,80,70,75,45
website_phishingdata,10,3,1353,FALSE,82.41,84.11,90.76,88.32,85.66,88.77,81.74
wholesalecustomersdata,8,2,440,FALSE,89.55,89.09,90.23,87.95,67.73,91.59,90.45
wifi_localization,8,4,2000,FALSE,92.6,98.2,97.15,98.3,79.05,97.9,79
wilt,6,2,4839,FALSE,94.61,89.17,98.2,94.88,94.77,97.85,94.46
wine,14,3,178,FALSE,96.11,96.63,93.86,94.97,62.79,97.19,76.96
wine-quality-red,12,6,1599,FALSE,61.98,55.1,61.16,64.79,57,60.48,54.66
wine-quality-white,12,7,4898,FALSE,57.17,44.1,58.35,65.4,98.89,55.25,45.75
yamilnaduelectricty,4,20,9156,FALSE,19.88,6.65,14.06,21.21,6.65,6.4,7.45
yeast,9,10,1484,FALSE,46.83,57.81,55.99,52.29,60.24,59.43,40.02
youtobe_kabita_preprocessing,8,7,4900,TRUE,33.18,26.61,34.18,31.94,37.33,33.94,32.37
youtobe_nisha_preprocessing,8,7,4900,FALSE,37.02,33.14,38.51,35.49,40.45,37.49,31.22
z-alizadehsani,56,2,303,FALSE,71.29,79.87,79.25,78.26,71.29,82.25,70.66
zoo,17,7,101,FALSE,91.18,96.18,92.18,96.18,94.18,95.18,73.27
,,,,,73.56828897,72.05855513,78.66087452,76.86395437,71.9578327,78.58,67.16117871
